IncDay	Incubation	Type	Habitat	Group	SampleDay	Prod12CO2.ug.day	Prod13CO2.ug.day	TotalCO2.ug.day	Prod12CH4.ug.day	Prod13CH4.ug.day	TotalCH4.ug.day	gCLit	gCPeat
I_Fen_E2_d5	I_Fen_E2	Enriched	Fen	One	5	2562.77656405684	3303.73666755365	5866.51323161048	75.8221750602356	80.1528556563495	155.975030716585	0.246848	2.92
I_Fen_E3_d1	I_Fen_E3	Enriched	Fen	One	1	1375.53320900354	483.612403747064	1859.1456127506	0	0	0.185637454268323	0.246848	2.92
I_Fen_E3_d3	I_Fen_E3	Enriched	Fen	One	3	1068.48738862423	1241.86383330569	2310.35122192992	0	0	18.2663666261467	0.246848	2.92
I_Fen_E3_d5	I_Fen_E3	Enriched	Fen	One	5	2556.44527360424	3397.49839460541	5953.94366820965	65.797580577256	66.4126427535525	132.210223330808	0.246848	2.92
I_Fen_N1_d1	I_Fen_N1	Natural	Fen	One	1	1783.9534899189	14.401315516128	1798.35480543503	0	0	0.50986775972106	0.246848	2.92
I_Fen_N1_d3	I_Fen_N1	Natural	Fen	One	3	2539.19424495674	31.2975772353973	2570.49182219214	0	0	0	0.246848	2.92
I_Fen_N1_d5	I_Fen_N1	Natural	Fen	One	5	4667.63406836234	59.1659298341509	4726.79999819649	97.408692061413	1.05956581138261	98.4682578727956	0.246848	2.92
I_Fen_N2_d1	I_Fen_N2	Natural	Fen	One	1	2175.86085562976	20.0433184721462	2195.90417410191	0	0	1.01326048113892	0.246848	2.92
I_Fen_N2_d3	I_Fen_N2	Natural	Fen	One	3	2567.66629394804	31.892893325199	2599.55918727324	0	0	0	0.246848	2.92
I_Fen_N2_d5	I_Fen_N2	Natural	Fen	One	5	7087.55846025139	89.5832934006305	7177.14175365202	120.143081815763	1.30313364895358	121.446215464716	0.246848	2.92
I_Fen_N3_d1	I_Fen_N3	Natural	Fen	One	1	1928.87289103118	19.6546937041048	1948.52758473529	0	0	1.1929885217243	0.246848	2.92
I_Fen_N3_d3	I_Fen_N3	Natural	Fen	One	3	2797.37935558613	34.7265228635975	2832.10587844972	0	0	0	0.246848	2.92
I_Fen_N3_d5	I_Fen_N3	Natural	Fen	One	5	5122.48965079811	64.6574344318869	5187.14708523	63.0584274124693	0.684729406064679	63.7431568185339	0.246848	2.92
I_Palsa_C1_d1	I_Palsa_C1	Control	Palsa	One	1	3069.38749225583	29.6814656166789	3099.06895787251	0	0	0	0	2.88
I_Palsa_C1_d3	I_Palsa_C1	Control	Palsa	One	3	610.810609788586	7.50315097645089	618.313760765037	0	0	0	0	2.88
I_Palsa_C1_d5	I_Palsa_C1	Control	Palsa	One	5	469.870365534723	5.49815779427444	475.368523328998	0	0	0	0	2.88
I_Palsa_C2_d1	I_Palsa_C2	Control	Palsa	One	1	3104.53437043616	31.0862448326035	3135.62061526876	0	0	0	0	2.88
I_Palsa_C2_d3	I_Palsa_C2	Control	Palsa	One	3	629.464939448808	7.73887523714535	637.203814685954	0	0	0	0	2.88
I_Palsa_C2_d5	I_Palsa_C2	Control	Palsa	One	5	522.554049861829	6.16029193525634	528.714341797085	0	0	0	0	2.88
I_Palsa_C3_d1	I_Palsa_C3	Control	Palsa	One	1	3358.06675691834	34.9338794532934	3393.00063637163	0	0	0	0	2.88
I_Palsa_C3_d3	I_Palsa_C3	Control	Palsa	One	3	615.543551747588	7.56407646739098	623.107628214979	0	0	0	0	2.88
I_Palsa_C3_d5	I_Palsa_C3	Control	Palsa	One	5	485.645780650725	5.67028973323641	491.316070383961	0	0	0	0	2.88
I_Palsa_E1_d1	I_Palsa_E1	Enriched	Palsa	One	1	4979.27107651609	1580.84462513481	6560.1157016509	0	0	0	0.2581	2.88
I_Palsa_E1_d3	I_Palsa_E1	Enriched	Palsa	One	3	2879.93857346804	1628.01920068127	4507.95777414931	0	0	0.180678271512446	0.2581	2.88
I_Palsa_E1_d5	I_Palsa_E1	Enriched	Palsa	One	5	1913.7215615476	1159.96563113845	3073.68719268604	0	0	0.499607567767243	0.2581	2.88
I_Palsa_E2_d1	I_Palsa_E2	Enriched	Palsa	One	1	6855.89962894389	2597.63651147451	9453.5361404184	0	0	0	0.2581	2.88
I_Palsa_E2_d3	I_Palsa_E2	Enriched	Palsa	One	3	1370.33532822157	945.023479058828	2315.3588072804	0	0	0.140724010311699	0.2581	2.88
I_Palsa_E2_d5	I_Palsa_E2	Enriched	Palsa	One	5	1402.04361327569	1061.29993787522	2463.34355115092	0	0	0.185839194525582	0.2581	2.88
I_Palsa_E3_d1	I_Palsa_E3	Enriched	Palsa	One	1	5187.71056442055	2216.66801377557	7404.37857819611	0	0	0	0.2581	2.88
I_Palsa_E3_d3	I_Palsa_E3	Enriched	Palsa	One	3	1709.21358100577	1154.96606909793	2864.1796501037	0	0	0.145448404799768	0.2581	2.88
I_Palsa_E3_d5	I_Palsa_E3	Enriched	Palsa	One	5	1365.76836486698	932.21673080354	2297.98509567052	0	0	0.131185969018226	0.2581	2.88
I_Palsa_N1_d1	I_Palsa_N1	Natural	Palsa	One	1	7513.64380710391	87.5816806656071	7601.22548776952	0	0	0	0.2581	2.88
