"JarDay"	"Jar"	"Type"	"Habitat"	"Group"	"SampleDay"	"Lab12CO2"	"Lab13CO2"	"LabCH4Tot"	"LabCO2Tot"	"Lab13CH4"	"Lab12CH4"	"HabDay"	"UnlCO2Tot"	"Unl13CO2"	"Unl12CO2"	"ContCO2Tot"	"Cont13CO2"	"Cont12CO2"	"UnlCH4Tot"	"Unl13CH4"	"Unl12CH4"	"ContCH4Tot"	"Cont13CH4"	"Cont12CH4"	"RELitter"	"RNLitter"	"RSoil"	"CSoil"	"CLitter"	"R13CO2Soil"	"R13CO2Inc"	"RInc"	"ASoilCO2"	"AIncCO2"	"ALitterCO2"	"RFluxCO2"	"NLitterCO2"	"R13CH4Inc"	"RCH4Flux"	"NLitterCH4"	"AIncCH4"	"RFluxCH4"	"FluxLitCH4"	"FluxLitCO2"	"FluxSoilCO2"	"FluxPrimCO2"	"BaseSoilCO2"	"LitPerContCO2"	"FluxSoilCH4"	"FluxPrimCH4"	"BaseSoilCH4"	"LitPerContCH4"	"gCLit"	"gCPeat"
"I_Bog_E1_d1"	"I_Bog_E1"	"Enriched"	"Bog"	"One"	1	3465.40202011425	516.97003582754	0	3982.37205594179	0	0	"Bog1"	1368.21999804066	9.03881295403389	1359.18118508662	964.000408293145	4.4877396977686	959.512668595376	0.0026107686491741	0	0	0	0	0	0.228643884	0.01094193629	0.0107739	0.781128	0.14943	0.00465532966496827	0.00660625701055226	0.0108008834473667	0.432093268451375	0.611640431335537	0.179547162884162	0.12981460008394	1266.67824607396	0	NA	NA	0	NA	NA	3682.49488931629	299.877166625494	-664.123241667651	964.000408293145	382.001382741788	NA	NA	NA	NA	0.152184	1.71
"I_Bog_E1_d3"	"I_Bog_E1"	"Enriched"	"Bog"	"One"	3	564.546544782537	241.671086461141	0.479168753228084	806.217631243678	0	0	"Bog3"	785.611107642546	9.72263411592776	775.888473526618	333.409316015354	3.98989709147605	329.419418923878	0	0	0	0	0	0	0.228643884	0.01094193629	0.0107739	0.781128	0.14943	0.0119669634284973	0.0123758867731687	0.0108008834473667	1.1107364490572	1.14582171296237	0.0350852639051717	0.299759118500469	904.305153861765	NA	0	NA	NA	0	NA	806.217631243678	0	-333.409316015354	333.409316015354	241.810169217512	NA	NA	NA	NA	0.152184	1.71
"I_Bog_E1_d5"	"I_Bog_E1"	"Enriched"	"Bog"	"One"	5	902.119219993438	342.258244805173	7.16554941131583	1244.37746479861	1.66695267309692	5.49859673821891	"Bog5"	1194.04242662503	14.5886076289433	1179.45381899609	470.644974015633	5.45880069140187	465.186173324232	5.16298654620616	0.0489551318908975	4.63935823509392	0.0404393239717864	0	0	0.228643884	0.01094193629	0.0107739	0.781128	0.14943	0.011598553034204	0.0122178302074057	0.0108008834473667	1.07654173829384	1.1311880428063	0.0546463045124588	0.27504375037888	1273.33178319755	0.00948194062734299	0.232634314190126	6.02449906974396	0.877885653849426	0.232634314190126	7.16554941131583	1244.37746479861	0	-470.644974015633	470.644974015633	264.398332820033	0	-0.0404393239717864	0.0404393239717864	17719.2611239374	0.152184	1.71
"I_Bog_E2_d1"	"I_Bog_E2"	"Enriched"	"Bog"	"One"	1	735.457668760069	162.45466479947	0	897.912333559538	0	0	"Bog1"	1368.21999804066	9.03881295403389	1359.18118508662	964.000408293145	4.4877396977686	959.512668595376	0.0026107686491741	0	0	0	0	0	0.228643884	0.01094193629	0.0107739	0.781128	0.14943	0.00465532966496827	0.00660625701055226	0.0108008834473667	0.432093268451375	0.611640431335537	0.179547162884162	0.180924861735066	1783.94122122483	0	NA	NA	0	NA	NA	897.912333559538	0	-964.000408293145	964.000408293145	93.1443934914279	NA	NA	NA	NA	0.152184	1.71
"I_Bog_E2_d3"	"I_Bog_E2"	"Enriched"	"Bog"	"One"	3	510.150561473622	238.831771818535	0.392706256845054	748.982333292156	0	0	"Bog3"	785.611107642546	9.72263411592776	775.888473526618	333.409316015354	3.98989709147605	329.419418923878	0	0	0	0	0	0	0.228643884	0.01094193629	0.0107739	0.781128	0.14943	0.0119669634284973	0.0123758867731687	0.0108008834473667	1.1107364490572	1.14582171296237	0.0350852639051717	0.318875040441539	964.37151226478	NA	0	NA	NA	0	NA	748.982333292156	0	-333.409316015354	333.409316015354	224.64349294237	NA	NA	NA	NA	0.152184	1.71
"I_Bog_E2_d5"	"I_Bog_E2"	"Enriched"	"Bog"	"One"	5	789.027284122397	332.837313840491	4.93548076083499	1121.86459796289	1.44656742500377	3.48891333583123	"Bog5"	1194.04242662503	14.5886076289433	1179.45381899609	470.644974015633	5.45880069140187	465.186173324232	5.16298654620616	0.0489551318908975	4.63935823509392	0.0404393239717864	0	0	0.228643884	0.01094193629	0.0107739	0.781128	0.14943	0.011598553034204	0.0122178302074057	0.0108008834473667	1.07654173829384	1.1311880428063	0.0546463045124588	0.29668225064314	1377.91896263723	0.00948194062734299	0.293095545318068	7.6567856767398	0.877885653849426	0.293095545318068	4.93548076083499	1121.86459796289	0	-470.644974015633	470.644974015633	238.367487150861	0	-0.0404393239717864	0.0404393239717864	12204.656943025	0.152184	1.71
"I_Bog_E3_d1"	"I_Bog_E3"	"Enriched"	"Bog"	"One"	1	1119.21636088084	246.725090619843	0	1365.94145150069	0	0	"Bog1"	1368.21999804066	9.03881295403389	1359.18118508662	964.000408293145	4.4877396977686	959.512668595376	0.0026107686491741	0	0	0	0	0	0.228643884	0.01094193629	0.0107739	0.781128	0.14943	0.00465532966496827	0.00660625701055226	0.0108008834473667	0.432093268451375	0.611640431335537	0.179547162884162	0.18062640265348	1780.92065690928	0	NA	NA	0	NA	NA	1365.94145150069	0	-964.000408293145	964.000408293145	141.695111303865	NA	NA	NA	NA	0.152184	1.71
"I_Bog_E3_d3"	"I_Bog_E3"	"Enriched"	"Bog"	"One"	3	494.785569146218	228.036307582004	0.693244869242146	722.821876728222	0	0	"Bog3"	785.611107642546	9.72263411592776	775.888473526618	333.409316015354	3.98989709147605	329.419418923878	0	0	0	0	0	0	0.228643884	0.01094193629	0.0107739	0.781128	0.14943	0.0119669634284973	0.0123758867731687	0.0108008834473667	1.1107364490572	1.14582171296237	0.0350852639051717	0.315480639039575	953.705569402981	NA	0	NA	NA	0	NA	722.821876728222	0	-333.409316015354	333.409316015354	216.797144532979	NA	NA	NA	NA	0.152184	1.71
"I_Bog_E3_d5"	"I_Bog_E3"	"Enriched"	"Bog"	"One"	5	809.316976796203	347.786492001166	6.18981188265082	1157.10346879737	1.79821169465688	4.39160018799394	"Bog5"	1194.04242662503	14.5886076289433	1179.45381899609	470.644974015633	5.45880069140187	465.186173324232	5.16298654620616	0.0489551318908975	4.63935823509392	0.0404393239717864	0	0	0.228643884	0.01094193629	0.0107739	0.781128	0.14943	0.011598553034204	0.0122178302074057	0.0108008834473667	1.07654173829384	1.1311880428063	0.0546463045124588	0.300566458730468	1396.69283158606	0.00948194062734299	0.290511525834414	7.58702427233737	0.877885653849426	0.290511525834414	6.18981188265082	1157.10346879737	0	-470.644974015633	470.644974015633	245.854844454141	0	-0.0404393239717864	0.0404393239717864	15306.4178000832	0.152184	1.71
"I_Fen_E1_d1"	"I_Fen_E1"	"Enriched"	"Fen"	"One"	1	1437.5582773155	345.757920861461	0.802870451761159	1783.31619817696	0	0	"Fen1"	2339.02303367929	20.4102694326181	2318.61276424667	2013.26577247912	17.420458161876	1995.84531431725	0.352018252300884	0	0	0.665056968882807	0	0	0.5244579	0.01108917935	0.01074727	1.3075344	0.251664	0.00865283580539124	0.00872598052209546	0.0108024562256005	0.805119421526699	0.807777448004457	0.00265802647775815	0.193884809219431	1044.0235120055	0	0	NA	0	0	NA	795.809574444602	987.506623732362	-1025.75914874676	2013.26577247912	39.5282920577667	NA	NA	NA	NA	0.246848	2.92
