FeatureID,I_Palsa_C1,I_Palsa_C2,I_Palsa_E1,I_Palsa_E2,I_Palsa_N1,I_Palsa_N2,II_Palsa_C1,II_Palsa_C2,II_Palsa_E1,II_Palsa_E2,II_Palsa_N1,II_Palsa_N2,III_Palsa_C1,III_Palsa_C2,III_Palsa_E1,III_Palsa_E2,III_Palsa_N1,III_Palsa_N2,Palsa_T0,PNC,PNE
MW_702.23891@RT_28.825,88292.3626360614,0,254060.088925904,37670.583996235,50365.5128513656,0,484600.13784829,0,0,88053.0373885139,74699.2783926325,4373863.28512828,349706.896088559,30157.7770391049,0,80886.4175955386,32350889.6994065,88394.9854486657,706750.634073994,65507.8278906503,0
MW_756.41594@RT_36.168,0,0,0,25867.2404860271,80952.360549136,0,0,0,0,0,0,24115.562804761,0,14773.459461381,0,0,0,0,0,51299488.1697654,152049.980099993
MW_554.16440@RT_19.816,3857132.42976186,3916890.8483173,2521039.7656365,1880134.99207761,5123851.31927025,2566196.8164278,12883985.4853269,17929789.0355676,13114878.3674529,19458274.8210647,31691540.5151571,19845113.6823999,21202782.7725251,7260986.41508817,26692146.5810336,18405820.2873953,11545109.7199987,14893172.1936075,30391725.0372844,0,0
MW_938.29373@RT_19.049,0,0,0,0,109519.061220876,0,6533632.06621806,0,0,66574.7054875694,61986.7329146176,31441290.0462094,0,0,0,0,18686828.2899052,1407291.96557489,908328.189732244,0,0
MW_518.16411@RT_18.735,9537942.97386468,1813402.17279365,411363.012052471,1484709.64454055,7939215.91420845,3664335.96613881,1755207.44649601,1372493.8031939,1773573.92244616,5439038.0656514,3301243.59752459,2652024.55909068,2029249.74801369,10057015.7196288,2413435.03983135,1232964.33567985,4382505.42989234,8003544.3003579,3050983.5511669,21107171.3674911,14156171.2723171
MW_460.19472@RT_19.623,141073.527646627,42877.2727363471,0,0,78526.3314136959,0,279414.409761097,0,0,0,0,7356476.95218003,0,0,0,49925.2507630399,30369234.7669928,364110.566258224,160635.798092122,201914.350996285,0
MW_710.20757@RT_15.091,2474451.59526379,69599.9181595026,35569.11313221,2760060.3512239,1071843.85209776,245437.933165759,2975345.24394519,178642.212431933,516636.926117312,3437235.27031494,528898.072226964,14183229.9989386,330295.511476867,1563967.00481813,3538210.02194501,3459785.87652342,21852004.7782995,4747871.33380101,1965824.78369368,2489664.49972795,1928280.74493509
MW_740.39950@RT_38.252,920502.252245967,379898.821805384,71696.2720760338,527015.2759986,1795434.4030757,954504.558174609,28008646.0795793,1015681.05207483,2114868.75821887,1392999.57321208,3204304.21323395,5076411.2637172,4957959.24490799,536479.561573402,3331656.66156124,6860248.75562746,26072382.4556242,44509251.3200337,4333838.4712295,281689.743377429,0
MW_918.44928@RT_28.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35611115.9669997,832760.426480261
MW_878.25108@RT_23.720,1843620.07569386,1210173.30788734,49742.4214575405,474886.91336669,2247900.77726548,304272.843577309,3511858.82738247,1614875.03956073,1610331.31919383,2481555.3613001,3790391.85016828,4697410.54883654,3958844.9676397,2100382.54269108,3534885.04803275,1703733.90691107,32304883.9950792,7927869.82572431,4103022.68577674,0,0
MW_936.65677@RT_40.738,359820.545563565,502333.920324024,489887.172608348,422142.331634239,476591.528615091,61166.7622113405,33622671.9525839,676658.313485655,1094995.85186752,1030026.4128739,32642.4353041553,4984082.18244851,303235.647910722,207473.88889061,48771.7157838381,3266674.92109313,13501297.7114251,18774832.6213056,340218.148703801,0,0
MW_560.48093@RT_50.920,196141.250374108,67308.308179487,68077.2901117013,1316488.34110126,818821.949004,514164.045258285,78270.4842185217,181609.97425716,796571.596573276,457123.73933269,1363173.08803132,604524.150309977,858284.295551247,993406.89618049,1425265.19262514,1455531.20144699,1558623.4248041,3494454.77505509,384476.94497366,24599726.1631807,36630816.9922749
MW_566.23683@RT_23.093,737375.958438825,236126.092777319,181633.487813046,236355.838107743,367102.145940629,1615065.31385962,47325252.342204,435535.079451376,1691710.88952589,912414.500158655,4344952.68387676,2400586.51174899,1602941.65732283,912536.875892975,4447599.9566264,17836027.8832658,11322260.3312484,25632041.4894414,5103339.01614054,15139034.4777665,637501.045118963
MW_1024.63824@RT_37.441,191680.266603803,202852.31437266,146566.831008711,558852.417669344,494779.468224834,109489.65230925,6259708.4167025,296794.490087106,298710.052921857,274916.130716149,1878162.13131809,7013220.73251079,3665056.65585626,722128.179201376,3350336.29232748,11199301.6030082,20485774.5082356,36772769.1765845,3797972.62454918,119645.978529667,0
