FeatureID,comp1,contrib,mol_class,dataset,I_Palsa_C1,I_Palsa_C2,I_Palsa_E1,I_Palsa_E2,I_Palsa_N1,I_Palsa_N2,II_Palsa_C1,II_Palsa_C2,II_Palsa_E1,II_Palsa_E2,II_Palsa_N1,II_Palsa_N2,III_Palsa_C1,III_Palsa_C2,III_Palsa_E1,III_Palsa_E2,III_Palsa_N1,III_Palsa_N2,Palsa_T0,PNC,PNE
MW_446.36095@RT_44.908,0.373488403452813,PO,Other,LC-MS/MS,15.685807606568986,16.37994095332062,16.131740168816773,16.08927334726859,15.368052404822153,15.301517990541976,15.693305815137212,17.063819513817947,16.00166910625697,16.06262038205448,16.134022864371303,14.498252610280002,16.74394184616928,15.997760389674033,15.075331997544623,15.699790892292084,13.761293689419281,14.161694897734957,14.861587142380746,10.602228014899854,11.169523312084255
MW_390.11633@RT_17.204,0.3405779383621207,PO,"Benzene and
substituted derivatives",LC-MS/MS,21.736780585559437,22.426051184214327,21.268022245550444,20.63321541623756,18.9705636902715,21.645971455543517,19.949514366845747,22.21224272774858,21.240807046091582,20.94542244106496,20.79777795951607,19.75776704222161,22.326407478021856,22.42874398136886,20.177694697041712,20.230148534943147,18.75932055157837,20.03352429052541,21.877801647156513,18.568951911212928,18.97558005220496
MW_982.20520@RT_26.674,-0.33876090556524513,PL,"Carboxylic acids and
derivatives",LC-MS/MS,5.197111140015068,5.17445112630965,5.676153070354169,7.660810926573818,8.12929500353237,8.957434969846574,4.557273876303933,5.503247864188794,7.573821453416994,4.867725534051827,8.252741485900062,5.4505024722145885,5.119824117092078,5.224631837651641,8.417231989365874,7.1494281709932785,6.623090361938385,7.720279670122363,7.969586051593797,12.054504009558922,12.534141638383007
MW_519.38585@RT_43.990,0.2875379069228083,PO,No annotation,LC-MS/MS,14.053254387411014,14.56404657937725,14.421477521063764,14.400702213146914,13.874272093633149,13.754806223384547,13.97048342420407,15.123583450162352,14.16103450855908,14.26067823168231,14.554376830363298,13.125850577978571,14.936011618400515,14.147460558747,13.179437156419109,14.191922828272956,12.239997668741397,12.827750051260482,13.187146882541276,7.55644322112634,8.740475298285379
MW_404.31390@RT_40.797,0.26379759407487485,PO,"Carboxylic acids and
derivatives",LC-MS/MS,18.070684383814356,18.667454054283233,18.75255681856696,18.47992785608822,17.80513930190858,17.720688617394337,18.376178503786814,19.471450152120877,18.431435136001557,18.208384836108323,18.024241647055778,16.762226068672295,18.771994040417994,18.168885723497297,18.11787047633835,17.80296557885118,15.895988102712993,16.829082412468807,16.507632294694453,13.31515123470363,14.535397348631406
MW_708.19138@RT_14.908,-0.263167911175063,PL,Organooxygen compounds,LC-MS/MS,5.824865312955606,5.803873184261605,7.665676758480293,11.880523286321717,8.180892110523983,7.809248373570555,7.47418958153588,6.108468888098521,5.701793288911111,7.369651548275509,7.89956596267142,8.43562172928178,5.753266981652261,5.850360355596065,9.213952386493858,7.5016626606747945,8.420768287282394,8.399177444341268,5.238207046144304,13.123715799137294,13.741678740477091
MW_416.18697@RT_39.904,0.2519491595401733,PO,Other,LC-MS/MS,17.91207648631527,17.93816896828362,17.603895495002867,16.844475732673576,16.990272418837407,16.73472614952295,17.256742195192896,18.781832936190316,17.97491212567315,17.57650793584996,17.830541167303743,16.53160837193239,19.230692058101127,18.363556812013304,18.555501065774454,16.725129511816775,14.955250695839943,15.212667256972463,17.8942649157301,13.507542147350923,14.993006103244714
MW_518.38219@RT_44.043,0.24658543592106322,PO,No annotation,LC-MS/MS,15.481075024657065,15.764566014540916,15.8680337543197,15.822546604652425,15.291704756196179,15.1714814404574,15.344434727502557,16.596419506200288,15.591042453537368,15.68323844273843,15.99777931844301,14.49839583921303,16.339397294593514,15.58151130386187,14.597010100866441,15.60055037116263,13.620862397256937,14.207158581456882,14.588807837560676,9.32474232480355,10.112944828537021
MW_624.17009@RT_27.610,0.20094332094674608,PO,Other,LC-MS/MS,13.634119382522869,12.384196716144958,12.198438413565075,11.832417291506822,11.849318660156456,12.356331517365566,11.641855436977144,12.461588374996724,11.567699271528273,10.528295294910793,11.613438779293427,10.908675834575147,12.528276941111573,13.0459448763416,11.931715888457516,10.619535072914125,8.930473305953845,7.261954249616283,11.947922723127675,15.644638276844857,14.194406489211177
MW_490.35088@RT_41.168,0.1910921304331826,PO,"Carboxylic acids and
derivatives",LC-MS/MS,16.338040615007923,17.282821764287906,17.289320587488156,16.955927470478432,16.660996452219386,16.14540072445475,16.680360360751553,17.887642909021036,16.37057572997055,16.600439144380772,16.72791101160731,15.055985994134552,17.330504541786343,16.50128276418449,15.877007232734794,16.553495724541918,14.01469583736898,15.248019352372745,14.833925718296943,11.347828634513178,13.258036156860951
MW_448.34024@RT_40.879,0.17762491859510035,PO,"Carboxylic acids and
derivatives",LC-MS/MS,19.2858877307866,19.93016336502491,20.16742571733144,19.85594894130539,19.2663950659069,19.108372299757296,19.29583829834719,20.549733314968574,19.070651655515707,19.288984057212456,18.886340104736703,17.569904530615496,19.624404708206836,19.481107824513014,18.719364476889393,19.16297770929405,16.80632175197459,17.88044506767218,17.156267244808937,14.822981843618452,16.083159530417152
MW_417.19049@RT_38.491,0.16261815337975788,PO,No annotation,LC-MS/MS,14.26943315657845,14.081301556953623,14.168103847449139,13.4599839261019,13.582603300054934,13.534059123602987,13.512489413986165,14.709893813442893,14.107307470741896,13.886196256615976,14.137985983282492,12.818456967117623,15.16981963764797,14.400712554621915,14.664603811123285,13.558506571793355,12.33559619222845,12.5102508687928,13.882822402553186,8.28516164975347,7.655861362460754
