FeatureID,Formula,C,H,N,O,P,S,Name,Calc. MW,name4plot,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,SampleID,AUC,sample_type,type,time,label_irreg
Feature0246,C51 H102 N14 O4 P2,51,102,14,4,2,0,NA,1036.768,Feature0246,2,0.0784313725490196,-1.215686274509804,94.9470588235294,9,5,-0.3548387096774194,0,-11,Lipid,II_Palsa_N2,24157970.0924142,Unlabeled,peat_and_litter,T2,Non_labeled
Feature0246,C51 H102 N14 O4 P2,51,102,14,4,2,0,NA,1036.768,Feature0246,2,0.0784313725490196,-1.215686274509804,94.9470588235294,9,5,-0.3548387096774194,0,-11,Lipid,III_Palsa_C1,58704721.0575881,Unlabeled,peat,T3,Non_labeled
Feature0246,C51 H102 N14 O4 P2,51,102,14,4,2,0,NA,1036.768,Feature0246,2,0.0784313725490196,-1.215686274509804,94.9470588235294,9,5,-0.3548387096774194,0,-11,Lipid,III_Palsa_C2,6582703.50517477,Unlabeled,peat,T3,Non_labeled
Feature0246,C51 H102 N14 O4 P2,51,102,14,4,2,0,NA,1036.768,Feature0246,2,0.0784313725490196,-1.215686274509804,94.9470588235294,9,5,-0.3548387096774194,0,-11,Lipid,III_Palsa_E1,1638508.20741918,Labeled,peat_and_litter,T3,Non_labeled
Feature0246,C51 H102 N14 O4 P2,51,102,14,4,2,0,NA,1036.768,Feature0246,2,0.0784313725490196,-1.215686274509804,94.9470588235294,9,5,-0.3548387096774194,0,-11,Lipid,III_Palsa_E2,40503997.9139438,Labeled,peat_and_litter,T3,Non_labeled
Feature0246,C51 H102 N14 O4 P2,51,102,14,4,2,0,NA,1036.768,Feature0246,2,0.0784313725490196,-1.215686274509804,94.9470588235294,9,5,-0.3548387096774194,0,-11,Lipid,III_Palsa_N1,11239406.7552042,Unlabeled,peat_and_litter,T3,Non_labeled
Feature0246,C51 H102 N14 O4 P2,51,102,14,4,2,0,NA,1036.768,Feature0246,2,0.0784313725490196,-1.215686274509804,94.9470588235294,9,5,-0.3548387096774194,0,-11,Lipid,III_Palsa_N2,19038301.3201443,Unlabeled,peat_and_litter,T3,Non_labeled
Feature0245,C20 H49 N13 O30 P2,20,49,13,30,2,0,NA,1013.21943,Feature0245,2.45,1.5,2,3.299999999999997,4,-26,1.64,2.6,-41,Carbohydrate,I_Palsa_C1,38639.5997583517,Unlabeled,peat,T1,Non_labeled
Feature0245,C20 H49 N13 O30 P2,20,49,13,30,2,0,NA,1013.21943,Feature0245,2.45,1.5,2,3.299999999999997,4,-26,1.64,2.6,-41,Carbohydrate,I_Palsa_E2,189003.749865075,Labeled,peat_and_litter,T1,Labeled
Feature0245,C20 H49 N13 O30 P2,20,49,13,30,2,0,NA,1013.21943,Feature0245,2.45,1.5,2,3.299999999999997,4,-26,1.64,2.6,-41,Carbohydrate,I_Palsa_N1,387381.260759754,Unlabeled,peat_and_litter,T1,Non_labeled
Feature0245,C20 H49 N13 O30 P2,20,49,13,30,2,0,NA,1013.21943,Feature0245,2.45,1.5,2,3.299999999999997,4,-26,1.64,2.6,-41,Carbohydrate,I_Palsa_N2,576704.187982654,Unlabeled,peat_and_litter,T1,Non_labeled
Feature0245,C20 H49 N13 O30 P2,20,49,13,30,2,0,NA,1013.21943,Feature0245,2.45,1.5,2,3.299999999999997,4,-26,1.64,2.6,-41,Carbohydrate,II_Palsa_C1,46654.75414466,Unlabeled,peat,T2,Non_labeled
Feature0245,C20 H49 N13 O30 P2,20,49,13,30,2,0,NA,1013.21943,Feature0245,2.45,1.5,2,3.299999999999997,4,-26,1.64,2.6,-41,Carbohydrate,PNC,160915306.011565,Unlabeled,litter,T0,Non_labeled
Feature0245,C20 H49 N13 O30 P2,20,49,13,30,2,0,NA,1013.21943,Feature0245,2.45,1.5,2,3.299999999999997,4,-26,1.64,2.6,-41,Carbohydrate,PNE,107199781.647594,Labeled,litter,T0,Non_labeled
Feature0244,C50 H43 N6 O12 P3,50,43,6,12,3,0,NA,1012.21607,Feature0244,0.86,0.24,-0.3200000000000003,69.42,34,22,0.4482758620689655,0.5428571428571428,13,Lignin,I_Palsa_C1,38639.5997583517,Unlabeled,peat,T1,Non_labeled
Feature0244,C50 H43 N6 O12 P3,50,43,6,12,3,0,NA,1012.21607,Feature0244,0.86,0.24,-0.3200000000000003,69.42,34,22,0.4482758620689655,0.5428571428571428,13,Lignin,I_Palsa_E1,40084.0124269115,Labeled,peat_and_litter,T1,Labeled
Feature0244,C50 H43 N6 O12 P3,50,43,6,12,3,0,NA,1012.21607,Feature0244,0.86,0.24,-0.3200000000000003,69.42,34,22,0.4482758620689655,0.5428571428571428,13,Lignin,I_Palsa_E2,844636.148910263,Labeled,peat_and_litter,T1,Labeled
Feature0244,C50 H43 N6 O12 P3,50,43,6,12,3,0,NA,1012.21607,Feature0244,0.86,0.24,-0.3200000000000003,69.42,34,22,0.4482758620689655,0.5428571428571428,13,Lignin,I_Palsa_N1,1026487.8427653,Unlabeled,peat_and_litter,T1,Non_labeled
Feature0244,C50 H43 N6 O12 P3,50,43,6,12,3,0,NA,1012.21607,Feature0244,0.86,0.24,-0.3200000000000003,69.42,34,22,0.4482758620689655,0.5428571428571428,13,Lignin,I_Palsa_N2,1616999.95694189,Unlabeled,peat_and_litter,T1,Non_labeled
Feature0244,C50 H43 N6 O12 P3,50,43,6,12,3,0,NA,1012.21607,Feature0244,0.86,0.24,-0.3200000000000003,69.42,34,22,0.4482758620689655,0.5428571428571428,13,Lignin,PNC,372945315.347981,Unlabeled,litter,T0,Non_labeled
Feature0244,C50 H43 N6 O12 P3,50,43,6,12,3,0,NA,1012.21607,Feature0244,0.86,0.24,-0.3200000000000003,69.42,34,22,0.4482758620689655,0.5428571428571428,13,Lignin,PNE,479484348.072787,Labeled,litter,T0,Labeled
Feature0243,C38 H51 N8 O18 P3,38,51,8,18,3,0,NA,1000.25224,Feature0243,1.3421052631578947,0.47368421052631576,-0.1578947368421053,64.8,19,1,-1.1111111111111112,0,-10,Lignin,I_Palsa_C1,823422.148686846,Unlabeled,peat,T1,Non_labeled
Feature0243,C38 H51 N8 O18 P3,38,51,8,18,3,0,NA,1000.25224,Feature0243,1.3421052631578947,0.47368421052631576,-0.1578947368421053,64.8,19,1,-1.1111111111111112,0,-10,Lignin,I_Palsa_C2,788513.967296526,Unlabeled,peat,T1,Non_labeled
Feature0243,C38 H51 N8 O18 P3,38,51,8,18,3,0,NA,1000.25224,Feature0243,1.3421052631578947,0.47368421052631576,-0.1578947368421053,64.8,19,1,-1.1111111111111112,0,-10,Lignin,I_Palsa_E1,201007.878939152,Labeled,peat_and_litter,T1,Non_labeled
Feature0243,C38 H51 N8 O18 P3,38,51,8,18,3,0,NA,1000.25224,Feature0243,1.3421052631578947,0.47368421052631576,-0.1578947368421053,64.8,19,1,-1.1111111111111112,0,-10,Lignin,I_Palsa_E2,250135.923523788,Labeled,peat_and_litter,T1,Non_labeled
Feature0243,C38 H51 N8 O18 P3,38,51,8,18,3,0,NA,1000.25224,Feature0243,1.3421052631578947,0.47368421052631576,-0.1578947368421053,64.8,19,1,-1.1111111111111112,0,-10,Lignin,I_Palsa_N1,916566.864728839,Unlabeled,peat_and_litter,T1,Non_labeled
Feature0243,C38 H51 N8 O18 P3,38,51,8,18,3,0,NA,1000.25224,Feature0243,1.3421052631578947,0.47368421052631576,-0.1578947368421053,64.8,19,1,-1.1111111111111112,0,-10,Lignin,II_Palsa_C1,17825977.3738429,Unlabeled,peat,T2,Non_labeled
Feature0243,C38 H51 N8 O18 P3,38,51,8,18,3,0,NA,1000.25224,Feature0243,1.3421052631578947,0.47368421052631576,-0.1578947368421053,64.8,19,1,-1.1111111111111112,0,-10,Lignin,II_Palsa_C2,1727848.86791359,Unlabeled,peat,T2,Non_labeled
Feature0243,C38 H51 N8 O18 P3,38,51,8,18,3,0,NA,1000.25224,Feature0243,1.3421052631578947,0.47368421052631576,-0.1578947368421053,64.8,19,1,-1.1111111111111112,0,-10,Lignin,II_Palsa_E1,7440191.16695128,Labeled,peat_and_litter,T2,Non_labeled
Feature0243,C38 H51 N8 O18 P3,38,51,8,18,3,0,NA,1000.25224,Feature0243,1.3421052631578947,0.47368421052631576,-0.1578947368421053,64.8,19,1,-1.1111111111111112,0,-10,Lignin,II_Palsa_E2,17654646.2960902,Labeled,peat_and_litter,T2,Non_labeled
Feature0243,C38 H51 N8 O18 P3,38,51,8,18,3,0,NA,1000.25224,Feature0243,1.3421052631578947,0.47368421052631576,-0.1578947368421053,64.8,19,1,-1.1111111111111112,0,-10,Lignin,II_Palsa_N1,24295251.0641121,Unlabeled,peat_and_litter,T2,Non_labeled
Feature0243,C38 H51 N8 O18 P3,38,51,8,18,3,0,NA,1000.25224,Feature0243,1.3421052631578947,0.47368421052631576,-0.1578947368421053,64.8,19,1,-1.1111111111111112,0,-10,Lignin,II_Palsa_N2,3958217.89971668,Unlabeled,peat_and_litter,T2,Non_labeled
Feature0243,C38 H51 N8 O18 P3,38,51,8,18,3,0,NA,1000.25224,Feature0243,1.3421052631578947,0.47368421052631576,-0.1578947368421053,64.8,19,1,-1.1111111111111112,0,-10,Lignin,III_Palsa_C1,17605550.3174689,Unlabeled,peat,T3,Non_labeled
