 ,Df,SumOfSqs,R2,F,Pr(>F)
type,2,0.22053044046166903,0.6956908924523346,20.128954766683123,0.001
time,2,0.014295314182339675,0.04509635885449107,1.304807317980456,0.228
Residual,15,0.08216911025107652,0.2592127486931745,NA,NA
Total,19,0.31699486489508516,1,NA,NA
